Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_129_137,VPWR,li1,69.2300,361.7600,1.799413
FILLER_129_134,VPWR,li1,67.8500,361.7600,1.799413
FILLER_129_131,VPWR,li1,66.4700,361.7600,1.799433
FILLER_129_128,VPWR,li1,65.0900,361.7600,1.799456
FILLER_129_125,VPWR,li1,63.7100,361.7600,1.799456
FILLER_129_122,VPWR,li1,62.3300,361.7600,1.799476
FILLER_129_119,VPWR,li1,60.9500,361.7600,1.799499
FILLER_129_116,VPWR,li1,59.5700,361.7600,1.799499
FILLER_129_113,VPWR,li1,58.1900,361.7600,1.799519
FILLER_129_111,VPWR,li1,56.8100,361.7600,1.799538
FILLER_129_108,VPWR,li1,55.8900,361.7600,1.799538
FILLER_129_105,VPWR,li1,54.5100,361.7600,1.799562
FILLER_129_102,VPWR,li1,53.1300,361.7600,1.799581
FILLER_129_99,VPWR,li1,51.7500,361.7600,1.799581
FILLER_129_96,VPWR,li1,50.3700,361.7600,1.799605
FILLER_129_93,VPWR,li1,48.9900,361.7600,1.799624
FILLER_129_90,VPWR,li1,47.6100,361.7600,1.799624
FILLER_129_87,VPWR,li1,46.2300,361.7600,1.799648
FILLER_129_84,VPWR,li1,44.8500,361.7600,1.799667
FILLER_129_81,VPWR,li1,43.4700,361.7600,1.799667
FILLER_129_78,VPWR,li1,42.0900,361.7600,1.799686
FILLER_129_75,VPWR,li1,40.7100,361.7600,1.799710
FILLER_129_72,VPWR,li1,39.3300,361.7600,1.799710
FILLER_129_69,VPWR,li1,37.9500,361.7600,1.799729
FILLER_129_66,VPWR,li1,36.5700,361.7600,1.799753
FILLER_129_63,VPWR,li1,35.1900,361.7600,1.799753
FILLER_129_60,VPWR,li1,33.8100,361.7600,1.799772
FILLER_129_57,VPWR,li1,32.4300,361.7600,1.799791
FILLER_129_54,VPWR,li1,30.8200,361.7600,1.799810
FILLER_129_51,VPWR,li1,29.6700,361.7600,1.799810
FILLER_129_48,VPWR,li1,28.2900,361.7600,1.799829
FILLER_129_45,VPWR,li1,26.9100,361.7600,1.799853
FILLER_129_42,VPWR,li1,25.5300,361.7600,1.799853
FILLER_129_39,VPWR,li1,24.1500,361.7600,1.799872
FILLER_129_36,VPWR,li1,22.7700,361.7600,1.799896
FILLER_129_33,VPWR,li1,21.3900,361.7600,1.799896
FILLER_129_30,VPWR,li1,20.0100,361.7600,1.799896
FILLER_129_27,VPWR,li1,18.6300,361.7600,1.799896
FILLER_129_24,VPWR,li1,17.2500,361.7600,1.799896
FILLER_129_21,VPWR,li1,15.8700,361.7600,1.799896
FILLER_129_18,VPWR,li1,14.4900,361.7600,1.799896
FILLER_129_15,VPWR,li1,13.1100,361.7600,1.799896
FILLER_129_12,VPWR,li1,11.7300,361.7600,1.799896
FILLER_129_9,VPWR,li1,10.3500,361.7600,1.799896
FILLER_129_6,VPWR,li1,8.9700,361.7600,1.799896
FILLER_129_3,VPWR,li1,7.5900,361.7600,1.799896
FILLER_128_775,VPWR,li1,362.4800,361.7600,1.799680
FILLER_128_772,VPWR,li1,361.3300,361.7600,1.799680
FILLER_128_769,VPWR,li1,359.9500,361.7600,1.799680
FILLER_128_766,VPWR,li1,358.5700,361.7600,1.799680
FILLER_128_763,VPWR,li1,357.1900,361.7600,1.799680
FILLER_128_760,VPWR,li1,355.8100,361.7600,1.799680
FILLER_128_757,VPWR,li1,354.4300,361.7600,1.799680
FILLER_128_755,VPWR,li1,353.0500,361.7600,1.799680
FILLER_128_752,VPWR,li1,352.1300,361.7600,1.799680
FILLER_128_749,VPWR,li1,350.7500,361.7600,1.799680
FILLER_128_746,VPWR,li1,349.3700,361.7600,1.799680
FILLER_128_743,VPWR,li1,347.9900,361.7600,1.799680
FILLER_128_740,VPWR,li1,346.6100,361.7600,1.799680
FILLER_128_737,VPWR,li1,345.2300,361.7600,1.799680
FILLER_128_734,VPWR,li1,343.8500,361.7600,1.799680
FILLER_128_731,VPWR,li1,342.4700,361.7600,1.799680
FILLER_128_728,VPWR,li1,341.0900,361.7600,1.799680
FILLER_128_725,VPWR,li1,339.7100,361.7600,1.799680
FILLER_128_722,VPWR,li1,338.3300,361.7600,1.799680
FILLER_128_719,VPWR,li1,336.9500,361.7600,1.799680
FILLER_128_716,VPWR,li1,335.5700,361.7600,1.799680
FILLER_128_713,VPWR,li1,334.1900,361.7600,1.799680
FILLER_128_710,VPWR,li1,332.8100,361.7600,1.799680
FILLER_128_707,VPWR,li1,331.4300,361.7600,1.799680
FILLER_128_704,VPWR,li1,330.0500,361.7600,1.799680
FILLER_128_701,VPWR,li1,328.6700,361.7600,1.799680
FILLER_128_699,VPWR,li1,327.2900,361.7600,1.799621
FILLER_128_696,VPWR,li1,326.3700,361.7600,1.799621
FILLER_128_693,VPWR,li1,324.9900,361.7600,1.799547
FILLER_128_690,VPWR,li1,323.6100,361.7600,1.799488
FILLER_128_687,VPWR,li1,322.2300,361.7600,1.799488
FILLER_128_684,VPWR,li1,320.8500,361.7600,1.799415
FILLER_128_681,VPWR,li1,319.4700,361.7600,1.799356
FILLER_128_678,VPWR,li1,318.0900,361.7600,1.799356
FILLER_128_675,VPWR,li1,316.7100,361.7600,1.799282
FILLER_128_672,VPWR,li1,315.3300,361.7600,1.799223
FILLER_128_669,VPWR,li1,313.9500,361.7600,1.799223
FILLER_128_666,VPWR,li1,312.5700,361.7600,1.799164
FILLER_128_663,VPWR,li1,311.1900,361.7600,1.799091
